Percentage,GradePoints,Grade,,,,
0,0,F,,,,
0.01,0,F,,,,
0.02,0,F,,,,
0.03,0,F,,,,
0.04,0,F,,,,
0.05,0,F,,,,
0.06,0,F,,,,
0.07,0,F,,,,
0.08,0,F,,,,
0.09,0,F,,,,
0.1,0,F,,,,
0.11,0,F,,,,
0.12,0,F,,,,
0.13,0,F,,,,
0.14,0,F,,,,
0.15,0,F,,,,
0.16,0,F,,,,
0.17,0,F,,,,
0.18,0,F,,,,
0.19,0,F,,,,
0.2,0,F,,,,
0.21,0,F,,,,
0.22,0,F,,,,
0.23,0,F,,,,
0.24,0,F,,,,
0.25,0,F,,,,
0.26,0,F,,,,
0.27,0,F,,,,
0.28,0,F,,,,
0.29,0,F,,,,
0.3,0,F,,,,
0.31,0,F,,,,
0.32,0,F,,,,
0.33,0,F,,,,
0.34,0,F,,,,
0.35,0,F,,,,
0.36,0,F,,,,
0.37,0,F,,,,
0.38,0,F,,,,
0.39,0,F,,,,
0.4,0,F,,,,
0.41,0,F,,,,
0.42,0,F,,,,
0.43,0,F,,,,
0.44,0,F,,,,
0.45,0,F,,,,
0.46,0,F,,,,
0.47,0,F,,,,
0.48,0,F,,,,
0.49,0,F,,,,
0.5,0,F,,,,
0.51,0,F,,,,
0.52,0,F,,,,
0.53,0,F,,,,
0.54,0,F,,,,
0.55,0,F,,,,
0.56,0,F,,,,
0.57,0,F,,,,
0.58,0,F,,,,
0.59,0,F,,,,
0.6,0,F,,,,
0.61,0,F,,,,
0.62,0,F,,,,
0.63,0,F,,,,
0.64,0,F,,,,
0.65,0,F,,,,
0.66,0,F,,,,
0.67,0,F,,,,
0.68,0,F,,,,
0.69,0,F,,,,
0.7,0,F,,,,
0.71,0,F,,,,
0.72,0,F,,,,
0.73,0,F,,,,
0.74,0,F,,,,
0.75,0,F,,,,
0.76,0,F,,,,
0.77,0,F,,,,
0.78,0,F,,,,
0.79,0,F,,,,
0.8,0,F,,,,
0.81,0,F,,,,
0.82,0,F,,,,
0.83,0,F,,,,
0.84,0,F,,,,
0.85,0,F,,,,
0.86,0,F,,,,
0.87,0,F,,,,
0.88,0,F,,,,
0.89,0,F,,,,
0.9,0,F,,,,
0.91,0,F,,,,
0.92,0,F,,,,
0.93,0,F,,,,
0.94,0,F,,,,
0.95,0,F,,,,
0.96,0,F,,,,
0.97,0,F,,,,
0.98,0,F,,,,
0.99,0,F,,,,
1,0,F,,,,
1.01,0,F,,,,
1.02,0,F,,,,
1.03,0,F,,,,
1.04,0,F,,,,
1.05,0,F,,,,
1.06,0,F,,,,
1.07,0,F,,,,
1.08,0,F,,,,
1.09,0,F,,,,
1.1,0,F,,,,
1.11,0,F,,,,
1.12,0,F,,,,
1.13,0,F,,,,
1.14,0,F,,,,
1.15,0,F,,,,
1.16,0,F,,,,
1.17,0,F,,,,
1.18,0,F,,,,
1.19,0,F,,,,
1.2,0,F,,,,
1.21,0,F,,,,
1.22,0,F,,,,
1.23,0,F,,,,
1.24,0,F,,,,
1.25,0,F,,,,
1.26,0,F,,,,
1.27,0,F,,,,
1.28,0,F,,,,
1.29,0,F,,,,
1.3,0,F,,,,
1.31,0,F,,,,
1.32,0,F,,,,
1.33,0,F,,,,
1.34,0,F,,,,
